Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Latitude,Longitude,Percent of days measured,Percent of counties reporting
1980,Indiana,5490721,92,15,4021,1469,3646,375,3236,410,239,102,34,0,2057,1143,487,173,2194,1654,0,0,-86.14996019399968,39.766910452000445,0.7324225865209472,0.16304347826086957
1980,Iowa,2914018,99,7,1877,685,1763,114,1336,427,81,29,4,0,1204,522,254,809,94,974,0,0,-93.81649055599968,42.46940091300047,0.7326307572209212,0.0707070707070707
1980,Kansas,2369039,105,3,1080,18,1016,64,832,184,51,12,1,0,474,239,103,652,0,428,0,0,-98.20078122699965,38.34774030000045,0.9836065573770492,0.02857142857142857
1980,Kentucky,3664221,120,21,5543,2143,5004,539,3986,1018,365,139,35,0,3526,1894,784,852,1654,3037,0,0,-84.77497104799966,37.645970271000465,0.7211813687223523,0.175
1980,Louisiana,4223101,64,8,1773,1155,1635,138,1415,220,88,31,19,0,1619,665,249,0,209,1564,0,0,-92.44568007099969,31.31266064400046,0.6055327868852459,0.125
1980,Maine,1126860,16,5,1127,703,1068,59,962,106,39,16,4,0,718,371,155,491,23,613,0,0,-68.98503133599962,45.254228894000505,0.6158469945355192,0.3125
1980,Maryland,4227643,24,11,2467,1559,1995,472,1527,468,245,135,92,0,2159,1367,477,143,720,1604,0,0,-76.60926011099963,39.29058096400047,0.6127670144063587,0.4583333333333333
1980,Massachusetts,5746075,14,9,2457,837,2173,284,1611,562,173,83,28,0,1936,981,382,790,306,1361,0,0,-72.08269067499964,42.27687047000046,0.7459016393442623,0.6428571428571429
1980,Michigan,9255553,83,15,4955,535,4593,362,3768,825,247,98,17,0,2903,1253,546,666,807,3482,0,0,-84.71439026999968,44.6613195430005,0.9025500910746812,0.18072289156626506
1980,Minnesota,4085017,87,10,3017,643,2882,135,1914,968,108,25,2,0,1835,787,439,1475,95,1447,0,0,-94.79420050299967,46.35564873600049,0.8243169398907104,0.11494252873563218
1980,Mississippi,2525342,82,3,988,110,874,114,687,187,98,14,2,0,608,321,118,35,97,856,0,0,-89.53803082499968,32.745510099000455,0.8998178506375227,0.036585365853658534
1980,Missouri,4921966,115,8,2420,508,2015,405,1302,713,277,99,29,0,1570,927,382,499,565,1356,0,0,-92.56630005299968,38.635790776000476,0.8265027322404371,0.06956521739130435
1980,Montana,788752,56,6,1474,722,1429,45,1105,324,39,5,1,0,782,377,219,481,247,746,0,0,-109.42442064499971,47.06652897200047,0.6712204007285975,0.10714285714285714
1980,Nebraska,1572296,93,4,1047,417,962,85,775,187,46,22,17,0,488,303,114,441,73,533,0,0,-99.36572062299967,41.6410409880005,0.7151639344262295,0.043010752688172046
